iter	Passed	Remaining
404	6976	5081
405	6991	5063
406	7007	5044
407	7022	5026
408	7037	5007
409	7051	4987
410	7066	4969
411	7081	4950
412	7096	4931
413	7111	4912
414	7126	4894
415	7141	4875
416	7156	4856
417	7171	4838
418	7186	4819
419	7201	4800
420	7216	4782
421	7231	4764
422	7246	4745
423	7261	4726
424	7276	4708
425	7291	4689
426	7306	4671
427	7321	4652
428	7336	4634
429	7350	4615
430	7365	4597
431	7380	4578
432	7394	4559
433	7409	4541
434	7424	4522
435	7439	4504
436	7454	4486
437	7469	4467
438	7484	4449
439	7498	4431
440	7513	4412
441	7528	4394
442	7543	4376
443	7558	4358
444	7573	4339
445	7588	4321
446	7603	4303
447	7618	4285
448	7633	4267
449	7648	4249
450	7662	4230
451	7678	4212
452	7693	4194
453	7708	4176
454	7723	4158
455	7739	4141
456	7754	4123
457	7769	4105
458	7784	4087
459	7799	4069
460	7815	4051
461	7832	4034
462	7847	4016
463	7862	3999
464	7877	3981
465	7893	3963
466	7907	3945
467	7924	3928
468	7939	3910
469	7954	3892
470	7971	3875
471	7986	3857
472	8001	3839
473	8016	3822
474	8031	3804
475	8047	3786
476	8062	3769
477	8076	3751
478	8091	3733
479	8106	3715
480	8122	3698
481	8137	3680
482	8152	3662
483	8167	3645
484	8182	3627
485	8197	3609
486	8212	3591
487	8227	3574
488	8242	3556
489	8257	3538
490	8272	3521
491	8288	3503
492	8302	3486
493	8318	3468
494	8332	3451
495	8348	3433
496	8363	3416
497	8378	3398
498	8393	3380
499	8408	3363
500	8423	3345
501	8438	3328
502	8453	3310
503	8468	3293
504	8483	3275
505	8498	3258
506	8512	3240
507	8527	3223
508	8542	3205
509	8557	3188
510	8572	3170
511	8587	3153
512	8602	3135
513	8617	3118
514	8631	3100
515	8647	3083
516	8662	3066
517	8678	3049
518	8693	3031
519	8708	3014
520	8722	2996
521	8737	2979
522	8752	2962
523	8768	2944
524	8783	2927
525	8799	2910
526	8814	2893
527	8828	2875
528	8843	2858
529	8858	2841
530	8873	2824
531	8887	2806
532	8902	2789
533	8916	2771
534	8931	2754
