iter	MultiClass
0	-0.5511854127
1	-0.41464672
2	-0.2336320987
3	-0.2052932715
4	-0.1762723128
5	-0.1535253063
6	-0.1408986988
7	-0.1339484137
8	-0.1267340822
9	-0.1191219552
10	-0.1114283373
11	-0.09593430799
12	-0.06673228409
13	-0.0634653943
14	-0.06267183499
15	-0.05877424581
16	-0.05619451309
17	-0.05340025529
18	-0.05139568836
19	-0.04934504513
20	-0.04760481418
21	-0.04512831437
22	-0.04487592804
23	-0.03768970381
24	-0.03721948153
25	-0.03611585094
26	-0.03507788482
27	-0.03348010758
28	-0.03251570172
29	-0.03114514887
30	-0.03056839746
31	-0.02930597574
32	-0.02903110886
33	-0.02791878014
34	-0.02749674891
35	-0.02674546687
36	-0.02559282438
37	-0.02500891133
38	-0.02410355541
39	-0.02369649124
40	-0.02256256504
41	-0.02180281736
42	-0.02061896051
43	-0.0202012095
44	-0.0198361239
45	-0.0193279509
46	-0.01864881897
47	-0.01859133359
48	-0.01839755861
49	-0.01818542938
50	-0.01776512984
51	-0.01745712275
52	-0.01724510624
53	-0.0169959881
54	-0.01681981811
55	-0.0164949637
56	-0.01619640591
57	-0.01581646066
58	-0.01560657696
59	-0.01544614232
60	-0.01520926202
61	-0.01461410666
62	-0.01395331506
63	-0.01375521072
64	-0.01369986247
65	-0.01328506796
66	-0.01307806552
67	-0.01286042377
68	-0.01259960803
69	-0.01240792773
70	-0.0122163099
71	-0.01196898159
72	-0.01177340097
73	-0.01158508985
74	-0.01130083413
75	-0.0111785238
76	-0.01102301627
77	-0.01086380827
78	-0.01077829795
79	-0.01062994778
80	-0.01052246124
81	-0.01039610269
82	-0.01031112866
83	-0.01016911451
84	-0.01005430394
85	-0.009886883163
86	-0.009709770643
87	-0.009633467088
88	-0.009489092283
89	-0.0085624845
90	-0.008485247285
91	-0.008426860354
92	-0.008366046626
93	-0.008274505233
94	-0.008213450836
95	-0.008124388365
96	-0.008017746513
97	-0.007881246875
98	-0.007753431761
99	-0.007675362771
100	-0.007664253766
101	-0.007598208845
102	-0.007523729585
103	-0.007498540056
104	-0.007417338159
105	-0.007343423714
106	-0.00730962861
107	-0.007243888903
108	-0.007165008365
109	-0.007102208879
110	-0.007059801497
111	-0.007018261137
112	-0.006895551192
113	-0.006766587207
114	-0.006747394094
115	-0.006690773371
116	-0.006643342379
117	-0.006599519424
118	-0.006515561573
119	-0.006475153319
120	-0.006436410217
121	-0.006386364276
122	-0.006362893353
123	-0.006294757408
124	-0.00621452091
125	-0.006186784096
126	-0.006148930693
127	-0.006093956862
128	-0.005976418384
129	-0.005916831057
130	-0.005851327999
131	-0.005843601358
132	-0.005803754435
133	-0.005738443762
134	-0.005694952211
135	-0.005674258067
136	-0.005645147236
137	-0.005573369308
138	-0.005534375718
139	-0.00548770816
140	-0.005463617822
141	-0.005403270619
142	-0.00538619215
143	-0.005380721768
144	-0.005354541324
145	-0.005330103461
146	-0.005297556641
147	-0.005279697873
148	-0.005257335116
149	-0.005226496687
150	-0.00521031536
151	-0.005186917748
152	-0.005152989549
153	-0.005130145707
154	-0.005079946171
155	-0.005056423324
156	-0.005045813185
157	-0.005021920204
158	-0.004995112899
159	-0.004956702885
160	-0.004931647185
161	-0.004895941819
162	-0.00481689284
163	-0.004766540895
164	-0.004741554487
165	-0.004710758704
166	-0.004699774666
167	-0.00466280956
168	-0.004631783875
169	-0.004618701625
170	-0.004602570384
171	-0.004569422971
172	-0.004544727122
173	-0.004537224666
174	-0.004529527837
175	-0.004501361822
176	-0.004456689566
177	-0.00441987836
178	-0.004361748305
179	-0.004325590351
180	-0.004308018271
181	-0.004278650694
182	-0.004248499282
183	-0.004228548201
184	-0.004210289256
185	-0.004193954887
186	-0.004167841672
187	-0.004149855687
188	-0.004123242021
189	-0.004121197949
190	-0.004118859247
191	-0.004061139615
192	-0.004038302897
193	-0.004018090238
194	-0.003994370111
195	-0.003962675897
196	-0.003948735053
197	-0.003916620389
198	-0.003741469655
199	-0.003720063599
200	-0.00370483381
201	-0.003674821633
202	-0.003492994234
203	-0.003474542248
204	-0.003472466093
205	-0.003457797753
206	-0.003432092585
207	-0.003420011269
208	-0.00341430208
209	-0.003403585183
210	-0.003389419792
211	-0.003386723457
212	-0.003373532716
213	-0.003346307273
214	-0.00332737022
215	-0.003316231441
216	-0.003301717895
217	-0.003278885802
218	-0.003261739197
219	-0.003245764341
220	-0.003235499541
221	-0.003221131673
222	-0.003188109305
223	-0.003175248305
224	-0.003162657319
225	-0.003152866246
226	-0.003143740282
227	-0.003129528631
228	-0.003119831784
229	-0.003105943247
230	-0.003098531258
231	-0.003083011651
232	-0.003074317503
233	-0.003066756432
234	-0.003041928084
235	-0.00302422229
236	-0.003014844544
237	-0.003004593744
238	-0.00299376541
239	-0.00298751409
240	-0.002973328867
241	-0.0029667448
242	-0.002954791361
243	-0.002941101238
244	-0.002928671338
245	-0.00290077846
246	-0.002893200862
247	-0.002886726332
248	-0.002875392503
249	-0.002868416066
250	-0.002855422994
251	-0.002848341613
252	-0.002836984921
253	-0.002819593484
254	-0.002811102866
255	-0.002807749016
256	-0.002799798983
257	-0.002795423578
258	-0.002784290937
259	-0.002774541419
260	-0.002753928135
261	-0.002738468946
262	-0.002727391675
263	-0.002720065719
264	-0.002709856702
265	-0.002695125166
266	-0.002686854226
267	-0.002676977775
268	-0.002667364906
269	-0.002657231585
270	-0.002648321956
271	-0.002643201693
272	-0.002633274622
273	-0.002620285006
274	-0.002609412025
275	-0.002598925591
276	-0.002585610497
277	-0.00258042479
278	-0.00256952755
279	-0.002557558338
280	-0.002531279573
281	-0.002527319635
282	-0.002518882484
283	-0.002508848178
284	-0.002496010899
285	-0.002489951614
286	-0.002484524506
287	-0.002477959322
288	-0.002463037726
289	-0.002459805447
290	-0.002449311885
291	-0.002442389322
292	-0.002436936671
293	-0.002429008017
294	-0.002422385715
295	-0.002417804585
296	-0.002410534348
297	-0.002405338777
298	-0.002401332946
299	-0.002393540709
300	-0.002383175472
301	-0.002376492028
302	-0.002370240521
303	-0.002367370873
304	-0.002359799816
305	-0.002349385323
306	-0.002342512294
307	-0.002338960047
308	-0.002333978812
309	-0.002321812422
310	-0.002311047538
311	-0.002291091791
312	-0.002283869377
313	-0.002277630096
314	-0.002252069011
315	-0.002239702956
316	-0.002230401354
317	-0.002224450356
318	-0.002217058343
319	-0.002206922839
320	-0.002203147176
321	-0.002195191159
322	-0.00218870426
323	-0.002181903797
324	-0.002176762383
325	-0.002169508457
326	-0.002166346359
327	-0.002161807353
328	-0.002157854957
329	-0.002151233831
330	-0.00214556347
331	-0.002138028467
332	-0.002133180192
333	-0.002129619698
334	-0.002123242361
335	-0.002120386054
336	-0.002115456447
